n,m,d,b,strategy,mean_gap,std_gap
8668,100,1.25,100,cmp,10.069999999999993,2.1418449990603894
8668,100,1.25,1080,cmp,10.769999999999992,1.5644487847162019
8668,100,1.25,2060,cmp,12.119999999999994,1.8055470085267789
8668,100,1.25,3040,cmp,14.969999999999994,4.089926649709014
8668,100,1.25,4020,cmp,17.919999999999995,3.5552777669262356
8668,100,1.25,5000,cmp,16.869999999999994,2.4181604578687494
9334,100,1.25,1,cmp,10.609999999999996,2.7654113618049667
9334,100,1.25,20,cmp,10.159999999999997,1.9874606914351791
9334,100,1.25,40,cmp,10.259999999999996,2.5179356624028344
9334,100,1.25,60,cmp,9.809999999999997,2.26439837484485
9334,100,1.25,80,cmp,9.109999999999996,1.909842925478428
9334,100,1.25,100,cmp,9.659999999999997,1.760681686165901
9334,100,1.25,1080,cmp,11.759999999999996,2.1656407827707715
9334,100,1.25,2060,cmp,13.659999999999997,2.9664793948382653
9334,100,1.25,3040,cmp,15.159999999999991,3.0248966924508345
9334,100,1.25,4020,cmp,15.409999999999991,3.713152299596665
9334,100,1.25,5000,cmp,18.05999999999999,1.907878402833891
10000,100,1.25,1,cmp,9.55,1.5321553446044565
10000,100,1.25,20,cmp,9.2,2.039607805437114
10000,100,1.25,40,cmp,10.3,2.1470910553583886
10000,100,1.25,60,cmp,9.6,2.009975124224178
10000,100,1.25,80,cmp,10.05,2.108909670896314
10000,100,1.25,100,cmp,9.45,1.6874537030686205
10000,100,1.25,1080,cmp,11.0,1.816590212458495
10000,100,1.25,2060,cmp,12.65,2.971110903349116
10000,100,1.25,3040,cmp,15.35,3.3357907608241857
10000,100,1.25,4020,cmp,15.95,2.9576172842340505
10000,100,1.25,5000,cmp,19.55,3.3087006513131407
10,100,1.25,1,med,1.1999999999999997,0.45825756949558394
15,100,1.25,1,med,1.4500000000000004,0.5830951894845301
25,100,1.25,1,med,1.95,0.6
25,100,1.25,20,med,2.0,0.4330127018922193
39,100,1.25,1,med,2.11,0.5
39,100,1.25,20,med,2.5599999999999996,0.5894913061275798
63,100,1.25,1,med,2.7199999999999998,0.5722761571129799
63,100,1.25,20,med,2.8199999999999994,0.739932429347437
63,100,1.25,40,med,2.6699999999999995,0.714142842854285
63,100,1.25,60,med,2.5199999999999996,0.6538348415311008
100,100,1.25,1,med,3.15,0.8529361054615991
100,100,1.25,20,med,3.4,1.1135528725660044
100,100,1.25,40,med,3.5,0.8660254037844386
100,100,1.25,60,med,3.2,0.8124038404635961
100,100,1.25,80,med,3.2,0.5099019513592784
100,100,1.25,100,med,3.15,0.9630680142129111
158,100,1.25,1,med,3.62,0.8124038404635961
158,100,1.25,20,med,3.87,0.8046738469715541
158,100,1.25,40,med,3.7700000000000005,0.7921489758877429
158,100,1.25,60,med,3.7700000000000005,0.9096702699330126
158,100,1.25,80,med,3.7700000000000005,0.9630680142129111
158,100,1.25,100,med,4.07,0.6538348415311012
